Topic,Word Representation,CategoryLv3,Category Lv. 2,Category Lv. 1
40,"['loss', 'epoch', 'accuracy', 'validation', 'training', 'lstm', 'decrease', 'model', 'train', 'network']",Neural Network Model Training,Deep Learning with Neural Networks,Machine Learning and Deep Learning Approaches
131,"['predict', 'prediction', 'label', 'class', 'keras', 'classification', 'model', 'tensorflow', 'array', 'loss']",Classification Supervised Machine Learning with Neural Networks,Deep Learning with Neural Networks,Machine Learning and Deep Learning Approaches
110,"['lstm', 'sequence', 'rnn', 'length', 'input', 'layer', 'predict', 'batch', 'keras', 'network']",Recurrent Neural Networks (RNNs) for Sequence Modelling,Deep Learning with Neural Networks,Machine Learning and Deep Learning Approaches
35,"['layer', 'embed', 'embedding', 'cnn', 'dimension', 'keras', 'weight', 'vector', 'softmax', 'input']",Neural Network Embeddings Layers,Deep Learning with Neural Networks,Machine Learning and Deep Learning Approaches
11,"['shape', 'error', 'keras', 'layer', 'tensor', 'tensorflow', 'input', 'model', 'lstm', 'valueerror']",Debugging Shape Errors in Neural Networks,Deep Learning with Neural Networks,Machine Learning and Deep Learning Approaches
27,"['attention', 'tensor', 'layer', 'pytorch', 'decoder', 'batch', 'tensorflow', 'encoder', 'shape', 'rnn']",Encoder-Decoder with Attention in Deep Learning,Deep Learning with Neural Networks,Machine Learning and Deep Learning Approaches
1,"['bert', 'embedding', 'embed', 'fine', 'model', 'tune', 'token', 'mask', 'pre', 'layer']",Fine-Tuning BERT Embedding Model,Transformer-based NLP with Hugging Face and GPT,Machine Learning and Deep Learning Approaches
60,"['bert', 'error', 'model', 'train', 'checkpoint', 'fine', 'initialize', 'classification', 'get', 'load']",Fine-Tuning and Debugging BERT Classification Models,Transformer-based NLP with Hugging Face and GPT,Machine Learning and Deep Learning Approaches
114,"['huggingface', 'weight', 'epoch', 'trainer', 'model', 'layer', 'lora', 'transformer', 'checkpoint', 'save']",Training Transformers Using Hugging Face,Transformer-based NLP with Hugging Face and GPT,Machine Learning and Deep Learning Approaches
56,"['huggingface', 'face', 'hugging', 'error', 'hug', 'load', 'transformer', 'model', 'trainer', 'fine']",Using and Debugging Hugging Face Transformers,Transformer-based NLP with Hugging Face and GPT,Machine Learning and Deep Learning Approaches
